,vote_average,runtime,original_language,genres,year,season,rating,revenue_adj,budget_adj
711,7.474,159,en,"Drama, Thriller, Mystery",1999,Summer,R,310190140,124382227.6
712,6.418,132,en,"Adventure, Action, Western",2016,Fall,PG-13,215461108.4,119434736.4
713,6.527,140,en,"Action, Adventure, Drama, Family",2010,Summer,PG,521070582.5,58037630.31
714,6.089,149,en,"Action, Adventure, Western",2013,Summer,PG-13,355662085.1,293538301.2
715,6.672,108,en,"Comedy, Romance",2000,Fall,PG-13,615471609.9,102440758.3
716,7.832,141,en,"Science Fiction, Drama, Romance, Fantasy",2009,Fall,R,3472021.722,69984797.03
717,7.605,119,en,Drama,2015,Fall,R,86355200.45,20179113.16
718,7.402,163,en,"Action, Thriller, Romance",2021,Fall,PG-13,930468095.7,300479390.8
719,6.2,98,en,"Adventure, Comedy, Fantasy, Family",2014,Winter,PG,488173264.1,170697173.3
720,5.946,112,en,"Science Fiction, Adventure, Action",2016,Winter,PG-13,145851539.6,50427999.8
721,6.674,132,en,"Science Fiction, Action",2019,Spring,PG-13,482881560.6,212337910
722,5.547,114,en,"Thriller, Action, Fantasy",2007,Winter,PG-13,355284912.1,170856058.8
723,7.193,162,en,"Action, Adventure, Science Fiction",2022,Fall,PG-13,922793704.2,268534335.5
724,6.41,107,en,"Action, Comedy, Crime, Mystery",2016,Summer,PG-13,287933983,66352631.31
725,7.014,124,en,"Action, Adventure, Science Fiction",2022,Fall,PG-13,422406777.2,214827468.4
726,7.2,116,en,"Drama, Horror",2007,Winter,R,236092008.5,77661844.91
727,6.762,121,en,"Horror, Action",1998,Summer,R,255223402.4,87549504.95
728,6.6,90,en,"Animation, Comedy, Family",2009,Fall,PG,361819116.5,148903823.5
729,7.69,94,en,"Comedy, Drama, Romance",2012,Spring,PG-13,94685722.94,22193104.36
730,6.59,114,en,"Science Fiction, Action, Adventure",2013,Fall,PG-13,171395226.9,150182386.7
731,7.451,144,en,"Drama, Mystery, Thriller, Horror",1997,Fall,R,302236336.3,112638592.1
732,6.434,112,en,"Thriller, Mystery, Drama, Crime",2016,Fall,R,229826749,59717368.18
733,7.081,110,en,"Action, Fantasy, Adventure",2021,Spring,R,101473129.4,24038351.26
734,6.324,132,en,"Horror, Adventure, Action",2004,Spring,PG-13,509724352.8,271619870.4
735,7,108,en,"Horror, Action, Thriller, Crime",1996,Winter,R,52610311.34,38689119.17
736,7.491,111,en,"Horror, Mystery, Thriller",2021,Spring,R,248113104.6,46874784.96
737,7.501,120,en,"Drama, Comedy",2017,Winter,R,69834396.36,14241534.51
738,6.173,83,en,Comedy,2012,Spring,R,248811793.5,90159486.47
739,7.5,138,en,Drama,2016,Fall,R,104821429.2,11943473.64
740,5.5,138,en,"Science Fiction, Adventure, Action",2003,Summer,PG-13,424553301.7,237054485.4
741,6.85,100,en,"Mystery, Comedy, Crime",2018,Winter,R,149040890.8,46931620.59
742,6.185,113,en,"Action, Comedy",2014,Winter,R,16589388.93,59139178.17
743,6.551,118,en,"Comedy, Drama, Romance",2005,Winter,PG-13,612643104.4,115406397.5
744,6.606,128,en,"Action, Thriller",2007,Summer,PG-13,595715221.5,170856058.8
745,6.329,123,en,"Action, Thriller, Mystery, Drama",2016,Summer,PG-13,551370346.3,159246315.1
746,6.234,109,en,"Thriller, Action",2014,Winter,PG-13,437860324.7,64515467.09
747,7.485,122,en,"Action, Crime, Drama",2001,Fall,R,188310038,80799543.12
748,6.8,89,en,"Animation, Comedy, Family, Fantasy",2015,Fall,PG,636620022.5,107621936.9
749,7.38,123,en,"Horror, Drama, Fantasy",1994,Fall,R,480985997,129028727.8
750,6.142,88,en,"Action, Adventure, Science Fiction",2008,Winter,PG-13,331009498.2,126606026.2
751,6.216,135,en,"Action, Thriller",2012,Summer,PG-13,383625754.8,180318972.9
752,6.536,126,en,"Action, Drama, Fantasy",2017,Spring,PG-13,192487371.3,226569867.3
753,6.878,95,en,"Action, Adventure, Animation, Comedy, Family",2016,Winter,PG,691621112,192422630.8
754,7.856,89,en,"Crime, Drama",1986,Summer,R,149992362.8,22948905.11
755,6.544,86,en,"Comedy, Adventure",1994,Winter,PG-13,230568736.7,32257181.94
756,6.926,81,en,"Adventure, Animation, Family, Romance",1995,Summer,G,723935333.5,115049900.2
757,6.708,104,en,"Adventure, Comedy, Science Fiction",2011,Winter,R,139886271.3,57105751.9
758,7.399,129,en,"Crime, Drama, Thriller",2006,Spring,R,294904331.9,71346444.78
759,7.129,124,en,"Thriller, Science Fiction, Horror",2020,Winter,R,176099299.6,8531191.491
760,7.797,91,en,"Adventure, Comedy, Fantasy",1975,Spring,PG,11712492.25,2413819.578
761,6.923,124,en,"Action, Thriller",1990,Summer,R,592353029.5,172747252.7
762,6.673,117,en,"Comedy, Romance",2011,Winter,PG-13,306865739.8,114211503.8
763,6.853,102,en,"Animation, Adventure, Comedy, Family",2017,Summer,G,497062279,226569867.3
764,6.6,110,en,"Horror, Mystery, Thriller",2017,Summer,R,396841503.8,19420274.34
765,7.52,114,en,"Adventure, Comedy, Family",1985,Summer,PG,182947065.3,56621800.95
766,8.287,116,en,"Romance, Drama",2019,Spring,PG-13,115661708.6,8743325.706
767,7.284,113,en,"Action, Adventure, Science Fiction",1990,Summer,R,644885042.1,160408163.3
768,8.004,179,en,"Crime, Drama",1995,Fall,R,242885766.5,104590818.4
769,7.57,97,en,"Science Fiction, Drama",2009,Summer,R,14533168.03,7445191.174
770,6.787,147,en,"Adventure, Action, Science Fiction",2022,Summer,PG-13,1076262072,177232661.4
771,6.296,132,en,"Action, Adventure, Science Fiction",2012,Spring,PG-13,394120543.7,346767255.6
772,5.609,110,en,"Science Fiction, Adventure, Action, Thriller",2013,Spring,PG-13,507720608.8,177488275.1
773,7.52,104,en,"Fantasy, Animation, Comedy, Crime",1988,Summer,PG,896200210.8,190216076.1
774,7.822,140,en,"Action, Adventure, Science Fiction",2022,Spring,R,149519918,26853433.55
775,7.368,145,en,"Action, History, War",2001,Winter,R,310610772.6,165190177
776,7.418,127,en,"Action, Adventure, Fantasy",2021,Summer,PG-13,265490904.7,240383512.6
777,6.433,113,en,"Adventure, Family, Fantasy",2010,Winter,PG,603136074.7,224895817.5
778,7.254,131,en,"Drama, Thriller, War",2008,Fall,R,73328381.26,22342239.91
779,6.955,99,en,"Comedy, Horror",2019,Fall,R,153385133.4,52459954.23
780,7.77,119,en,"Crime, Drama, History, Thriller",1987,Summer,R,215642362.7,70683453.24
781,7.362,123,en,"Action, Drama",2015,Spring,R,123374865.1,40358226.33
782,7.071,110,en,"Comedy, Music",2003,Fall,PG-13,226838631,60561364.89
783,6.667,86,en,Comedy,1997,Spring,PG-13,598191183.9,88925204.27
784,6.681,106,en,"Drama, Thriller, Science Fiction, Mystery",2002,Summer,PG-13,724749548.9,127819311.1
785,6.745,93,en,"Adventure, Animation, Family",2015,Fall,PG,446910412.4,235422986.9
786,6.803,118,en,"Action, Comedy, Crime",2021,Fall,PG-13,214113.2004,192306810.1
787,5.808,131,en,"Thriller, Action, Adventure, Science Fiction",2012,Spring,PG-13,420317263.3,289897425.7
788,5.847,118,en,"Science Fiction, Action, Crime, Thriller",2014,Winter,PG-13,326191498.6,161288667.7
789,7.239,97,en,"Drama, Romance",2016,Winter,PG-13,117481686.5,47773894.54
790,6.763,110,en,"Action, Crime",2003,Spring,PG-13,304658567.8,103819482.7
791,8.129,95,en,"Drama, Comedy, War",1964,Winter,PG,96898934.68,18314563.11
792,6,118,en,"Action, Science Fiction, Thriller",2012,Summer,PG-13,275752198.5,173383627.8
793,7.925,86,en,"Family, Animation, Science Fiction, Drama",1999,Summer,PG,44317014.56,133950091.3
794,7.206,127,en,"Fantasy, Drama, Thriller, Mystery, Romance",1990,Summer,PG-13,1246248038,54291993.72
795,6.029,119,en,"Thriller, Science Fiction, Drama, Mystery",2014,Spring,PG-13,138492205.4,134407223.1
796,6.178,103,en,"Action, Thriller, Romance",2010,Winter,PG-13,404422703.8,145094075.8
797,6.805,107,en,"Comedy, Family, Fantasy, Romance",2007,Fall,PG,528857984.5,132025136.4
798,6.864,115,en,"Comedy, Music",2015,Spring,PG-13,386774668.3,39012952.12
799,7.52,101,en,"Thriller, Drama",2004,Summer,R,13926010.17,8488120.95
800,6.6,98,en,Horror,2000,Spring,R,210246234.8,42838862.56
801,7.678,113,en,"Comedy, Crime",2020,Winter,R,140364662.5,26812316.11
802,7.213,120,en,"Drama, Crime, Thriller",2004,Summer,R,369681928.1,110345572.4
803,7.279,114,en,"Comedy, Adventure, Fantasy",2023,Summer,PG-13,1474022175,149616015.8
804,7.002,116,en,"Action, Adventure",2022,Winter,PG-13,437325628.7,128896481
805,6.4,114,en,"Science Fiction, Action, Horror",1992,Spring,R,363742234.2,113830557.6
806,7.2,98,en,"Romance, Family, Animation",2009,Winter,G,403525457.4,156349014.6
807,7.567,139,en,"Action, Drama, History",2006,Winter,R,191324571.7,63419062.03
808,6.35,95,en,"Comedy, Drama",2010,Fall,R,307281429.3,94311149.26
809,6.885,107,en,"Adventure, Animation, Mystery",2011,Fall,PG,533930144.4,185593693.7
810,6.479,147,en,"Science Fiction, Action, Adventure",2021,Winter,R,188096879.9,228364337
811,6.868,110,en,"Horror, Thriller, Mystery",2012,Spring,R,114454157.1,4161207.068
812,6.396,106,en,"Comedy, Fantasy, Science Fiction",1996,Winter,PG-13,206418703,142538860.1
813,7.015,130,en,"Drama, Action",2018,Fall,PG-13,271716184.5,63421108.9
814,7.443,140,en,"Drama, History",1995,Summer,PG,743092522.5,108774451.1
815,7.257,85,en,"Adventure, Animation, Family",2003,Fall,G,433269497.5,221481563
816,6.811,106,en,"Action, Thriller, Mystery",2014,Winter,PG-13,299472196.2,67203611.55
817,7.562,91,en,"Horror, Thriller",1978,Fall,R,353506329.6,1634880
818,8.044,101,en,"Drama, Comedy",2017,Spring,PG-13,52232052.6,9062794.691
819,6.7,136,en,"Action, Thriller, Science Fiction, Adventure",2005,Summer,PG-13,268648228.4,207731515.5
820,6.795,109,en,"Comedy, Action, Science Fiction",2013,Summer,R,62925446.56,27305888.48
821,7.338,158,en,"History, Drama",2012,Winter,PG-13,612820645.8,84611210.38
822,7.611,94,en,"Animation, Family, Fantasy, Adventure",1997,Fall,G,276269560.1,104734129.5
823,6.754,84,en,Comedy,2006,Fall,R,416271455.2,28538577.91
824,8.023,150,en,"Science Fiction, Adventure, Action",2023,Spring,PG-13,872344230.2,257958647.9
825,7.577,157,en,"Drama, Crime",2007,Fall,R,413883327.6,155323689.8
826,6.824,142,en,"Adventure, Fantasy, Comedy, Family",1991,Spring,PG,702740059.4,163506686.5
827,6.598,147,en,"Adventure, Action, Comedy, Thriller, Crime",2003,Summer,R,472966188.3,224942212.4
828,6.394,105,en,"Action, Horror, Thriller",2016,Summer,R,157372357.6,13270526.26
829,7.224,170,en,Drama,2004,Winter,PG-13,362782289.4,186738660.9
830,6.696,92,en,"Action, Crime, Thriller",2002,Fall,PG-13,77985636.48,37280632.41
831,6.18,121,en,"Action, Mystery, Science Fiction, Thriller",2009,Spring,PG-13,231465576.5,74451911.74
832,7.045,141,en,"History, Drama",2018,Fall,PG-13,134088990.2,88789552.46
833,6.822,84,en,"Science Fiction, Drama, Thriller",2012,Winter,PG-13,201125008.3,20806035.34
834,7.301,110,en,"Drama, Adventure, Western",2010,Winter,PG-13,366038875.7,55135748.8
835,7.001,122,en,"Horror, Thriller, Mystery",2009,Summer,R,116014320.7,29780764.7
836,6.134,109,en,"Mystery, Drama, Romance",2015,Summer,PG-13,115037491.9,16143290.53
837,8.427,229,en,"Drama, Crime",1984,Spring,R,16969578.02,92561334.64
839,6.028,106,en,"Adventure, Family, Fantasy",2013,Summer,PG,272854520.7,122876498.2
840,7.537,119,en,"Drama, Comedy, Thriller",2018,Fall,R,121665414,19026332.67
841,7.509,166,en,Drama,2014,Summer,R,64700500.14,5376288.924
842,7.019,138,en,"Action, Crime, Science Fiction",1997,Summer,R,485484477.1,158089252
843,7.495,126,en,"Action, Comedy, Thriller",2022,Summer,R,257007340.2,96672360.78
844,7.782,87,en,"Adventure, Animation, Comedy, Family",2009,Fall,PG,69197130.05,59561529.39
845,6.564,93,en,Horror,2005,Fall,R,243587467.1,6594651.285
846,6.722,115,en,"Action, Thriller",2013,Fall,R,187493563.6,68264721.21
847,6.35,86,en,"Horror, Drama, Thriller",2016,Summer,PG-13,158052973.7,22559894.65
848,6.287,102,en,Comedy,2009,Spring,PG-13,202981046.4,29780764.7
849,6.752,120,en,"Fantasy, Horror, Adventure, Action",2008,Summer,PG-13,238895238.8,126606026.2
850,5.409,121,en,"Action, Crime, Fantasy",1995,Summer,PG-13,703957171.5,209181636.7
851,7.35,125,en,"Drama, History",2017,Fall,PG-13,195299609.5,38840548.68
852,6.321,124,en,"Action, Adventure, Mystery, Thriller",2007,Winter,PG,713312006.4,201920796.8
853,6.733,98,en,"Comedy, Fantasy, Romance",2004,Spring,PG-13,163745524.5,62812095.03
854,6.174,108,en,"Animation, Comedy, Family",2006,Fall,PG,609355094.1,158547655.1
855,6.005,103,en,"Action, Adventure, Fantasy",2016,Winter,PG-13,440524548,199057893.9
856,7.428,107,en,"Crime, Drama, Mystery, Thriller",2017,Summer,R,58258559.91,14241534.51
857,6.311,117,en,"Science Fiction, Action, Adventure, Thriller",2019,Fall,PG-13,216671496.9,174866514.1
858,5.251,103,en,"Fantasy, Action",2003,Winter,PG-13,310039093.8,134965327.5
859,5.588,119,en,"Action, Science Fiction, Thriller, Western",2011,Summer,PG-13,249584007.9,232705939
860,7.037,112,en,"Drama, Comedy, Romance",2010,Fall,R,149185740.3,43528222.74
861,6.824,113,en,"Action, Thriller",2007,Spring,R,48346705.61,38830922.46
862,6.814,108,en,"Adventure, Comedy, Family",2004,Winter,PG,354928477.3,237667386.6
863,6.795,120,en,"Drama, Romance",1996,Fall,PG-13,299939964.1,29525906.74
864,6.76,110,en,"Action, Science Fiction, Adventure",2020,Spring,PG-13,48580404.38,51187148.94
865,5.991,85,en,"Horror, Mystery",2007,Fall,R,300327363.1,333945.9331
866,7.45,146,en,"Action, Drama, Thriller",2004,Spring,R,221189760.7,118833693.3
867,6.817,95,en,"Action, Science Fiction",2012,Fall,R,56922180.68,69353451.13
868,7.289,78,en,"Animation, Comedy, Family, Adventure",1970,Winter,G,463076740.8,33269841.27
869,5.673,95,en,"Fantasy, Action, Science Fiction",2017,Summer,PG-13,146598573.2,77681097.35
870,5.818,114,en,"Fantasy, Action, Adventure, Family",2013,Winter,PG-13,269901782.1,266232412.7
871,6.641,119,en,"Horror, Romance",2015,Fall,R,100464838.6,73990081.6
872,6.455,128,en,"Science Fiction, Action",2019,Fall,R,326150145.4,231073607.9
873,7.263,134,en,Drama,2011,Fall,PG-13,157335220.7,71382189.87
874,6.705,121,en,"Action, Thriller, Crime",2018,Summer,R,241507781.8,78642175.04
875,7.479,108,en,"Comedy, Drama, Crime",2008,Winter,R,51437470.98,22342239.91
876,7.814,170,en,"Action, Thriller, Crime",2023,Spring,R,440571253.2,92865113.23
877,7.373,109,en,"Drama, Crime, Thriller",2009,Fall,R,190513817.6,78919026.44
878,6.106,109,en,"Fantasy, Adventure, Action",2010,Summer,PG,312363955.8,217641113.7
879,6.744,97,en,"Comedy, Romance, Drama",2001,Spring,R,506217747.3,44888635.07
880,6.9,126,en,"Horror, Science Fiction, Thriller",2007,Fall,R,89264866.26,27958264.17
881,7.669,119,en,"Crime, Thriller, Action",2021,Spring,R,124959149.1,48076702.53
882,7.449,128,en,"Romance, Horror",1992,Fall,R,491435411.8,91064446.05
883,4.331,125,en,"Action, Science Fiction, Adventure, Comedy",1997,Summer,PG-13,470724821.9,247014456.3
884,6.318,102,en,"Action, Thriller",2018,Summer,PG-13,370824841,158552772.3
885,7.2,125,en,"Crime, Drama, Thriller",2010,Fall,R,223482798.5,53684808.04
886,7.324,91,en,Horror,1984,Fall,R,175866535.8,3393915.604
887,7.103,91,en,"Drama, Animation, Family",1996,Summer,G,662477556.7,203626943
888,6.224,126,en,"Action, Adventure, Thriller",2014,Summer,PG-13,288572308,127686862
889,7.302,178,en,"Fantasy, Drama, Romance",1998,Fall,PG-13,278096333.2,175099009.9
890,7.222,104,en,"Animation, Action, Comedy, Family",2017,Winter,PG,403877469.1,103574796.5
891,6.829,116,en,"Crime, Drama",2018,Winter,R,221725786.7,63421108.9
892,7.078,136,en,"Comedy, Romance",2006,Winter,PG-13,307849920.7,134765506.8
893,6.585,119,en,"Romance, Comedy",1998,Summer,R,719627068.5,44747524.75
894,6.942,115,en,"Comedy, Family, Romance",2001,Summer,G,296866773.9,66435179.9
895,6.288,114,en,"Action, Adventure, Drama",2016,Spring,PG-13,218949534.3,152611052
896,6.81,121,en,"Adventure, Drama, History",2015,Fall,PG-13,273665882.5,73990081.6
897,7.297,102,en,"Action, Thriller, Science Fiction",1987,Summer,R,151049637.6,36755395.68
898,6.218,108,en,"Comedy, Romance",2001,Summer,R,516315535.5,53866362.08
899,6.963,140,en,"Drama, Crime",2013,Spring,R,64354471.56,20479416.36
900,7.059,140,en,"Comedy, Crime, Mystery",2022,Fall,PG-13,14264543.9,42965493.68
901,7.286,110,en,"Fantasy, Drama, Thriller, Romance",2006,Summer,PG-13,139351320.2,26160363.09
902,6.13,111,en,"Action, Fantasy, Science Fiction, Adventure",2018,Spring,PG-13,367920182.1,190263326.7
903,6.757,111,en,"Crime, Drama, Thriller",2002,Spring,R,349869052.9,85212874.08
904,6.016,91,en,"Family, Animation, Adventure, Comedy",2007,Fall,PG,446702508.7,232985534.7
905,6.901,114,en,"Comedy, Crime, Drama",2016,Summer,R,114437750.2,53082105.05
906,6.758,84,en,"Animation, Comedy, Family",2000,Summer,G,418767695,83815165.88
907,5.945,118,en,"Action, Thriller",2016,Fall,PG-13,215176376,79623157.57
908,7.442,100,en,"Animation, Family, Comedy, Fantasy",2022,Spring,PG,20279629.23,204086095
909,7.603,103,en,Comedy,1986,Summer,PG-13,201194109.6,17211678.83
910,5.937,115,en,"Comedy, Science Fiction, Action",2019,Summer,PG-13,317121298.9,137395118.2
911,6.062,93,en,"Action, Science Fiction, Adventure, Comedy, Family",2008,Summer,PG,151483454.9,67026719.73
912,7.112,115,en,"Drama, History",2016,Fall,PG-13,32010161.53,19905789.39
913,7.785,138,en,"Crime, Mystery, Thriller",1997,Fall,R,249419270.5,69164047.77
914,6.11,109,en,"Action, Science Fiction, Thriller",2017,Fall,PG-13,286902393.4,155362194.7
915,7.857,101,en,"Adventure, Comedy, Animation",2018,Spring,PG-13,81607421.37,79619111.26
916,6.233,115,en,"Comedy, Romance",2004,Winter,PG-13,877065550.9,135809935.2
917,6.446,131,en,"Action, Drama, Thriller",2013,Summer,PG-13,280386060.9,204794163.6
918,6.182,99,en,"Action, Thriller",2016,Spring,R,273046979.3,79623157.57
919,5.579,92,en,Comedy,2011,Spring,R,308653008.5,28552875.95
920,7.097,124,en,"Action, Drama, Mystery, Thriller, Crime",2007,Spring,R,148640105.2,94747450.79
921,8.442,140,en,"Animation, Action, Adventure",2023,Spring,PG,704992473,103183459.1
922,6.172,110,en,"Action, Fantasy, Thriller",2011,Spring,PG-13,128191708.5,117066791.4
923,7.03,129,en,"Adventure, Action, Thriller, Science Fiction",1997,Fall,R,239533627.5,207492143.3
924,6.289,107,en,"Comedy, Romance",2011,Winter,R,213044538.5,35691094.94
925,6.131,109,en,"Science Fiction, Horror, Action",1997,Fall,R,320130735.4,138328095.5
926,7.013,98,en,"Action, Comedy, Crime",1998,Fall,PG-13,476115733.4,64202970.3
927,6.317,94,en,"Horror, Mystery",2015,Fall,PG-13,132442329.5,6726371.054
928,7.292,96,en,"Adventure, Drama, Family",2007,Winter,PG,213705303,93194213.9
929,6.174,109,en,"Action, Thriller, Science Fiction, Adventure",2011,Winter,PG-13,213973021,71382189.87
930,6.843,126,en,"Action, Thriller, Science Fiction",2006,Fall,PG-13,286269761.6,118910741.3
931,6.336,81,en,"Horror, Mystery",1999,Summer,R,475789000.2,114814.364
932,7.512,109,en,"Drama, Fantasy, Thriller, Horror",2019,Fall,R,22645031.22,13739511.82
933,7.569,139,en,"Comedy, Family, Fantasy",1964,Winter,G,1048838197,61048543.69
934,6.542,106,en,"Horror, Thriller",2018,Fall,R,329662924.1,12684221.78
935,6.981,95,en,"Animation, Family, Adventure, Science Fiction",2001,Summer,PG,334067910.6,215465448.3
936,6.516,117,en,"Fantasy, Horror, Action, Thriller",2002,Spring,R,275184382,95864483.34
937,6.796,90,en,"Thriller, Science Fiction, Mystery",1997,Fall,R,17723909.72,691640.4777
938,5.762,118,en,"Adventure, Action, Thriller, Science Fiction",2009,Summer,PG-13,450387931.1,260581691.1
939,6.771,131,en,"Crime, Drama, Thriller",2001,Winter,R,631479434.9,156212450
940,6.7,123,en,"Drama, Crime",2008,Spring,PG-13,238031796.1,52131893.12
941,6.535,100,en,"Horror, Thriller, Mystery",2019,Winter,PG-13,194491629.4,11241418.76
942,7.199,115,en,"Comedy, Family",2008,Winter,PG,380924902.6,89368959.64
943,6.4,117,en,"Thriller, Action, Adventure, Comedy, Crime",2010,Summer,PG-13,257162993,159603483.4
944,6.9,118,en,"Thriller, Crime",2002,Spring,R,201874322.7,81662337.66
945,6.64,96,en,"Comedy, Drama",2008,Fall,R,243858204,55110858.44
946,7.328,121,en,"Music, Drama, History",2019,Spring,R,208995399,49961861.17
947,6.2,94,en,"Animation, Family, Adventure, Science Fiction",2009,Spring,PG,568082783.4,260581691.1
948,6.176,129,en,"Adventure, Science Fiction",2018,Fall,PG-13,106382337.2,126842217.8
949,6.435,130,en,"Fantasy, Action, Mystery",2013,Summer,PG-13,130244409.2,81917665.45
950,6.997,116,en,"Drama, History",2017,Winter,PG-13,232744824.5,64734247.79
951,6.301,100,en,"Fantasy, Comedy, Family",1995,Spring,PG,602292908.8,104590818.4
952,5.627,107,en,"Science Fiction, Action, Adventure",2018,Fall,R,203635203.3,111621151.7
953,7.281,122,en,"Crime, Drama, Thriller",2005,Fall,R,119721060.2,82433141.06
954,6.4,140,en,"Action, Adventure, Drama",2010,Spring,PG-13,466723737.8,290188151.6
955,7.1,136,en,"Drama, Thriller, Crime",2019,Summer,R,62478434.04,23731884.06
956,6.046,113,en,"Adventure, Fantasy",2007,Winter,PG-13,578168925.6,279582641.7
957,8.552,190,hi,"Comedy, Drama, Romance",1995,Fall,G,209181636.7,27611976.05
958,5.847,150,en,"Adventure, Drama, Action",2014,Winter,PG-13,360254137.1,188170112.3
959,6.8,124,en,"Action, Drama, War, Romance, Thriller",2016,Fall,R,158609360.4,112799473.2
960,5.783,83,en,Comedy,2001,Summer,R,253568139.1,80799543.12
961,7.084,180,fr,"Romance, Drama",2013,Fall,NC-17,13879165.34,5870766.024
962,7.072,136,en,"Fantasy, Drama",2009,Winter,PG-13,139405754.8,96787485.26
963,7.698,83,en,"Animation, Adventure, Comedy, Family, Drama",2002,Spring,G,217583154.5,142021456.8
964,7.219,118,en,"Adventure, Drama, Comedy",1998,Spring,R,20778950.87,35992574.26
965,6.549,97,en,"Drama, Science Fiction",2014,Summer,PG-13,90026570.93,33601805.78
966,7.1,137,en,"Action, Adventure, Thriller",1996,Summer,R,682277772.3,152720207.3
967,6.5,91,en,Horror,2013,Spring,R,133174848.5,23210005.21
968,7.57,123,en,"Action, Adventure, Family, Comedy",2022,Spring,PG,435478391.7,118155107.6
969,6.857,107,en,"Drama, Action",2016,Fall,PG-13,161622234.3,145975788.9
970,7.575,128,en,"Drama, Romance, Music",2001,Spring,PG-13,321785857.5,94266133.64
972,6.8,100,en,"Romance, Comedy",2015,Winter,PG-13,58557948.75,11434830.79
973,6.4,91,en,"Animation, Comedy, Family, Science Fiction",2005,Spring,PG,432792933.7,123649711.6
974,6.033,100,en,"Drama, Horror",2013,Fall,R,112492462,40958832.73
975,5.512,110,en,"Drama, Thriller, Science Fiction",2017,Spring,PG-13,52631356.75,23304329.21
976,6.3,124,en,"Action, Adventure, Science Fiction",2017,Spring,PG-13,184281883.3,135941920.4
977,6.734,106,en,"Science Fiction, Thriller, Romance",2011,Spring,PG-13,182551925.8,71667718.63
978,7.4,147,en,"Crime, Fantasy, Drama",2006,Fall,R,214102632.9,95128593.04
979,7.837,140,en,"Drama, Action",2011,Fall,PG-13,33276399.63,35691094.94
980,7.496,110,en,"Comedy, Drama",2001,Fall,R,128276008,37706453.46
981,7.674,99,en,"Adventure, Family, Fantasy, Comedy, Romance",1987,Fall,PG,87256362.19,45237410.07
982,6.073,95,en,"Adventure, Animation, Family, Comedy, Science Fiction",2016,Summer,PG,542205885.4,139340525.8
983,7.752,107,en,"Drama, Thriller",1990,Fall,R,151220161.4,49356357.93
984,6.855,94,en,"Animation, Family, Fantasy",2009,Fall,PG,484364253.1,297807647
985,5.817,92,en,Comedy,2016,Spring,R,144328280.9,46446841.92
986,7.286,110,en,"Adventure, Action, Comedy, Thriller, Crime",1987,Spring,R,339866193.6,42410071.94
987,7.701,103,en,"Horror, Thriller",2022,Summer,R,173409529.5,18260334.81
988,6.981,157,en,"Thriller, Drama, History",2012,Winter,R,184231500.7,55482760.9
989,7.025,107,en,"Action, Science Fiction, Thriller",2002,Winter,R,9514807.386,35505364.2
990,7.031,102,en,"Comedy, Fantasy",1991,Fall,PG-13,447313244.7,70074294.21
991,6.195,109,en,"Action, Comedy",2010,Summer,PG-13,380131634,169760068.7
992,6.544,83,en,"Family, Comedy, Animation",2006,Spring,PG,544448282.7,126838124.1
993,6.862,115,en,"Action, Comedy, Crime, Drama, Thriller",2017,Summer,R,172855790.1,64734247.79
994,6.283,113,en,Comedy,2012,Spring,R,325946772.6,69353451.13
995,6.14,83,en,"Adventure, Animation, Comedy, Family",1998,Fall,PG,334162575,116732673.3
996,5.8,92,en,"Comedy, Family, Fantasy, Animation",2007,Winter,PG,561287988.2,93194213.9
997,6.677,140,en,"Crime, Action",2009,Summer,R,318809965.4,148903823.5
998,5.913,102,en,Comedy,2016,Winter,R,124839858.9,15261105.2
999,7.304,102,en,"Western, Crime, Drama",2016,Summer,R,49882973.98,15924631.51
1000,6.243,130,en,"Action, Crime, Comedy",2013,Spring,R,119197779.2,34132360.6
1001,5.469,112,en,"Adventure, Action, Fantasy",2008,Summer,PG-13,600931526.2,215974985.8
1002,6.352,104,en,"Action, Thriller, Mystery",2018,Winter,PG-13,152137583.8,38052665.34
1003,6.529,125,en,"Comedy, Romance",2011,Spring,R,411708947.9,46398423.42
1004,6.2,90,en,Comedy,2001,Fall,PG-13,109135011,50275271.27
1005,6.639,112,en,"Family, Fantasy, Adventure",2019,Spring,PG,441268929.7,212337910
1006,7.747,120,en,"Drama, War, Action",1986,Winter,R,397390598.9,17211678.83
1007,7.1,134,en,"Drama, History, Crime, Thriller",2016,Fall,R,49574991.6,53082105.05
1008,6.05,88,en,"Mystery, Adventure, Comedy",2002,Summer,PG,489353930.1,149122529.6
1009,6.043,84,en,"Family, Fantasy, Comedy, Adventure",1999,Winter,PG,574330854.4,254505173.5
1010,6.8,108,en,"Thriller, Science Fiction, Action",2000,Winter,R,99065165.82,42838862.56
1011,6.473,119,en,"Comedy, Romance",2005,Summer,R,475614716.5,65946512.85
1012,5.75,125,en,"Fantasy, Comedy",2014,Winter,PG,286156166.1,67203611.55
1013,7.282,88,en,Comedy,1980,Summer,PG,337246692.3,14143958.87
1014,6.897,97,en,"Animation, Comedy, Family, Fantasy",2018,Summer,PG,670487963.3,101473774.2
1015,6.389,132,en,"Action, Crime, Drama, Thriller",2014,Spring,PG-13,273219825.7,88708767.25
1016,7.533,127,en,"Crime, Drama, Thriller",1997,Winter,R,246836135.6,69164047.77
1017,7.152,98,en,"Comedy, Family, Science Fiction",1996,Summer,PG,68132385.95,73305699.48
