,vote_average,runtime,original_language,genres,year,season,rating,revenue_adj,budget_adj
70,7.892,149,en,"Mystery, Thriller, Drama",2014,Fall,R,496406685,81988406.09
71,7.339,169,en,"Adventure, Fantasy, Action",2012,Winter,PG-13,1416341128,346767255.6
72,7.835,92,en,"Animation, Comedy, Family",2001,Fall,G,1040891564,206487721.3
73,7.971,81,en,"Animation, Adventure, Family, Comedy",1995,Fall,G,825012375.2,62754491.02
74,7.5,157,en,"Western, Drama, Adventure",2015,Winter,R,716964567.4,181612018.5
75,5.952,152,en,"Action, Adventure, Fantasy",2016,Spring,PG-13,1159362976,331763156.6
76,8.256,89,en,"Family, Animation, Drama",1994,Summer,G,1641794996,96771545.83
77,8.209,155,en,"Action, Drama, Adventure",2000,Spring,R,866762759.1,191843601.9
78,8.133,103,en,"Comedy, Drama",1998,Summer,PG,513853727.7,116732673.3
79,7.704,115,en,"Action, Adventure, Animation, Family",2004,Fall,PG,1071951370,156181425.5
80,7.6,116,en,"Drama, Science Fiction, Mystery",2016,Fall,PG-13,269906826.4,62371473.43
81,8.515,133,ko,"Comedy, Thriller, Drama",2019,Spring,R,321744113.8,14192915.71
82,6.538,112,en,"Action, Adventure, Fantasy",2013,Fall,PG-13,880318825.8,232100052.1
83,6.691,136,en,"Action, Adventure, Fantasy",2012,Summer,PG-13,1051302144,298219839.9
84,7.337,117,en,"Horror, Thriller",2017,Winter,PG-13,360510668.2,11652164.6
85,7.492,120,en,"Action, Comedy, Adventure",2018,Spring,R,996848688.5,139526439.6
86,8.218,144,en,"Horror, Thriller",1980,Spring,R,180968700.6,76781491
87,7.97,111,en,"Action, Crime",2003,Fall,R,313026253.7,51909741.33
88,7.4,146,en,"Adventure, Action, Science Fiction",2013,Fall,PG-13,1180995714,177488275.1
89,8.277,113,fr,"Drama, Comedy",2011,Fall,R,609016440.4,18559369.37
90,7.62,104,en,"Mystery, Thriller, Horror",2017,Winter,R,330672855.1,5826082.301
91,8.007,113,en,"History, Drama, Thriller, War",2014,Fall,PG-13,313915741.5,18817011.23
92,7.997,135,en,"Music, Drama, History",2018,Fall,PG-13,1146644644,65957953.26
93,8.507,189,en,"Fantasy, Drama, Crime",1999,Winter,R,548815289,114814364
94,7.173,113,en,"Action, Mystery, Science Fiction, Thriller",2014,Fall,PG-13,468167052.7,45698455.86
95,7.312,100,en,Comedy,2009,Summer,R,698821778.8,52116338.22
